Tiempo(s),Latitud,Longitud,Presión(Pa),Temperatura(°C),Humedad(%),Altitud_BMP280(m),Altitud_Relativa(m),Altitud_GPS(m),AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),MagX(μT),MagY(μT),MagZ(μT)
573.99,0.000000,0.000000,75183.52,35.79,0.00,43.67,43.67,0.00,0.03,0.10,0.96,-0.73,-2.88,0.27,764.00,24320.00,29786.00
575.99,0.000000,0.000000,75183.46,35.79,0.00,43.67,43.67,0.00,0.04,0.09,0.95,-0.85,-2.93,0.10,764.00,24320.00,29786.00
577.99,0.000000,0.000000,75182.88,35.79,0.00,43.73,43.73,0.00,0.03,0.09,0.95,-0.84,-3.05,0.58,764.00,24320.00,29786.00
579.98,0.000000,0.000000,75182.36,35.80,0.00,43.79,43.79,0.00,-0.29,0.30,1.02,-10.49,-23.01,2.77,764.00,24320.00,29786.00
582.01,0.000000,0.000000,75181.70,35.80,0.00,43.86,43.86,0.00,-0.42,0.46,0.57,-53.73,-11.06,83.98,764.00,24320.00,29786.00
583.99,0.000000,0.000000,75184.48,35.80,0.00,43.56,43.56,0.00,0.89,0.09,0.44,-12.03,-35.88,17.24,764.00,24320.00,29786.00
585.99,0.000000,0.000000,75186.98,35.79,0.00,43.30,43.30,0.00,-0.51,-0.35,0.71,-19.69,3.67,23.93,764.00,24320.00,29786.00
588.00,0.000000,0.000000,75187.45,35.79,0.00,43.25,43.25,0.00,-0.35,-0.67,0.63,43.53,-33.84,-78.77,764.00,24320.00,29786.00
589.99,0.000000,0.000000,75188.57,35.79,0.00,43.13,43.13,0.00,0.06,-0.03,1.07,39.44,47.38,52.83,764.00,24320.00,29786.00
591.99,0.000000,0.000000,75189.16,35.79,0.00,43.07,43.07,0.00,-0.01,0.08,0.96,-0.91,-2.90,0.50,764.00,24320.00,29786.00
593.99,0.000000,0.000000,75186.41,35.80,0.00,43.36,43.36,0.00,-0.01,0.09,0.96,-0.41,-3.14,0.53,764.00,24320.00,29786.00
595.99,0.000000,0.000000,75184.67,35.79,0.00,43.54,43.54,0.00,-0.01,0.09,0.96,-1.04,-3.01,0.23,764.00,24320.00,29786.00
597.99,0.000000,0.000000,75184.03,35.80,0.00,43.61,43.61,0.00,-0.00,0.10,0.98,0.21,-3.08,0.57,764.00,24320.00,29786.00
599.98,0.000000,0.000000,75182.67,35.80,0.00,43.75,43.75,0.00,-0.01,0.09,0.96,-0.90,-2.85,0.18,764.00,24320.00,29786.00
601.99,0.000000,0.000000,75182.80,35.80,0.00,43.74,43.74,0.00,-0.01,0.09,0.96,-0.85,-2.85,0.50,764.00,24320.00,29786.00
603.99,0.000000,0.000000,75182.66,35.80,0.00,43.76,43.76,0.00,-0.02,0.08,0.95,-0.51,-2.75,0.19,764.00,24320.00,29786.00
605.99,0.000000,0.000000,75181.92,35.81,0.00,43.83,43.83,0.00,-0.01,0.09,0.96,-0.52,-3.07,0.21,764.00,24320.00,29786.00
607.99,0.000000,0.000000,75182.15,35.81,0.00,43.81,43.81,0.00,-0.01,0.09,0.96,-0.60,-2.85,0.22,764.00,24320.00,29786.00
609.99,0.000000,0.000000,75182.86,35.82,0.00,43.74,43.74,0.00,-0.02,0.09,0.96,-0.59,-2.86,0.24,764.00,24320.00,29786.00
611.99,0.000000,0.000000,75183.30,35.82,0.00,43.69,43.69,0.00,-0.02,0.09,0.95,-0.63,-2.96,0.53,764.00,24320.00,29786.00
613.99,0.000000,0.000000,75183.73,35.82,0.00,43.64,43.64,0.00,-0.01,0.10,0.96,-0.52,-2.68,0.36,764.00,24320.00,29786.00
615.99,0.000000,0.000000,75183.98,35.82,0.00,43.62,43.62,0.00,-0.02,0.07,0.97,-0.45,-2.81,0.40,764.00,24320.00,29786.00
617.99,0.000000,0.000000,75183.34,35.82,0.00,43.68,43.68,0.00,-0.01,0.09,0.96,-1.01,-2.87,0.01,764.00,24320.00,29786.00
619.99,0.000000,0.000000,75182.66,35.82,0.00,43.76,43.76,0.00,-0.01,0.09,0.96,-0.96,-2.94,-0.07,764.00,24320.00,29786.00
621.99,0.000000,0.000000,75181.84,35.83,0.00,43.84,43.84,0.00,-0.02,0.08,0.95,-0.34,-2.82,0.49,764.00,24320.00,29786.00
623.99,0.000000,0.000000,75181.52,35.83,0.00,43.88,43.88,0.00,-0.02,0.09,0.96,-0.75,-2.69,0.59,764.00,24320.00,29786.00
625.99,0.000000,0.000000,75181.35,35.83,0.00,43.90,43.90,0.00,-0.01,0.09,0.95,-0.69,-3.08,0.32,764.00,24320.00,29786.00
627.99,0.000000,0.000000,75182.17,35.83,0.00,43.81,43.81,0.00,-0.01,0.09,0.95,-0.53,-2.96,0.31,764.00,24320.00,29786.00
629.99,0.000000,0.000000,75182.78,35.84,0.00,43.74,43.74,0.00,-0.02,0.10,0.96,-0.53,-2.90,0.34,764.00,24320.00,29786.00
631.99,0.000000,0.000000,75183.08,35.84,0.00,43.71,43.71,0.00,-0.01,0.10,0.96,-0.62,-2.85,0.22,764.00,24320.00,29786.00
633.99,0.000000,0.000000,75183.27,35.84,0.00,43.69,43.69,0.00,-0.01,0.10,0.96,-0.85,-2.81,0.17,764.00,24320.00,29786.00
635.99,0.000000,0.000000,75182.98,35.85,0.00,43.72,43.72,0.00,-0.01,0.10,0.96,-0.61,-3.20,0.51,764.00,24320.00,29786.00
637.99,0.000000,0.000000,75182.34,35.85,0.00,43.79,43.79,0.00,-0.01,0.10,0.96,-0.43,-2.99,0.50,764.00,24320.00,29786.00
639.98,0.000000,0.000000,75181.87,35.86,0.00,43.84,43.84,0.00,-0.01,0.10,0.96,-0.56,-2.92,0.38,764.00,24320.00,29786.00
641.99,0.000000,0.000000,75182.00,35.85,0.00,43.83,43.83,0.00,-0.02,0.10,0.96,-0.66,-3.04,0.38,764.00,24320.00,29786.00
643.99,0.000000,0.000000,75181.66,35.86,0.00,43.86,43.86,0.00,-0.01,0.10,0.96,-0.66,-2.91,0.24,764.00,24320.00,29786.00
645.99,0.000000,0.000000,75181.62,35.86,0.00,43.87,43.87,0.00,-0.01,0.10,0.96,-0.76,-2.72,0.40,764.00,24320.00,29786.00
647.99,0.000000,0.000000,75181.71,35.87,0.00,43.86,43.86,0.00,-0.01,0.10,0.96,-0.64,-2.97,0.56,764.00,24320.00,29786.00
649.99,0.000000,0.000000,75181.27,35.87,0.00,43.90,43.90,0.00,-0.01,0.10,0.96,-0.70,-2.93,-0.01,764.00,24320.00,29786.00
651.99,0.000000,0.000000,75180.95,35.88,0.00,43.94,43.94,0.00,-0.02,0.10,0.96,-0.65,-2.94,0.11,764.00,24320.00,29786.00
653.99,0.000000,0.000000,75180.90,35.87,0.00,43.94,43.94,0.00,-0.01,0.09,0.96,-0.66,-2.82,0.47,764.00,24320.00,29786.00
655.99,0.000000,0.000000,75181.27,35.89,0.00,43.90,43.90,0.00,-0.02,0.10,0.95,-0.66,-2.87,0.03,764.00,24320.00,29786.00
657.99,0.000000,0.000000,75180.69,35.88,0.00,43.96,43.96,0.00,-0.01,0.10,0.96,-0.81,-2.82,0.46,764.00,24320.00,29786.00
659.99,0.000000,0.000000,75180.30,35.89,0.00,44.01,44.01,0.00,-0.01,0.10,0.96,-0.77,-2.85,0.11,764.00,24320.00,29786.00
661.99,0.000000,0.000000,75180.55,35.89,0.00,43.98,43.98,0.00,-0.01,0.10,0.96,-0.70,-2.96,0.33,764.00,24320.00,29786.00
663.99,0.000000,0.000000,75180.80,35.90,0.00,43.95,43.95,0.00,-0.00,0.09,0.96,-0.39,-2.82,0.33,764.00,24320.00,29786.00
665.99,0.000000,0.000000,75180.69,35.90,0.00,43.96,43.96,0.00,-0.01,0.10,0.95,-0.65,-2.72,0.37,764.00,24320.00,29786.00
667.99,0.000000,0.000000,75180.98,35.90,0.00,43.93,43.93,0.00,-0.02,0.10,0.96,-0.60,-2.75,0.31,764.00,24320.00,29786.00
669.99,0.000000,0.000000,75181.64,35.90,0.00,43.86,43.86,0.00,-0.06,0.11,0.98,-0.12,-2.91,0.34,764.00,24320.00,29786.00
671.97,0.000000,0.000000,75181.73,35.90,0.00,43.85,43.85,0.00,0.00,0.10,0.95,0.63,-3.52,0.79,764.00,24320.00,29786.00
673.99,0.000000,0.000000,75181.34,35.90,0.00,43.90,43.90,0.00,-0.00,0.09,0.96,-0.96,-2.79,0.35,764.00,24320.00,29786.00
676.01,0.000000,0.000000,75181.76,35.91,0.00,43.85,43.85,0.00,-0.06,-0.02,0.84,-3.94,-46.26,-83.61,764.00,24320.00,29786.00
678.01,0.000000,0.000000,75181.49,35.91,0.00,43.88,43.88,0.00,0.12,-0.55,0.80,-11.71,-33.85,59.46,764.00,24320.00,29786.00
679.99,0.000000,0.000000,75181.88,35.91,0.00,43.84,43.84,0.00,0.04,-0.10,1.01,27.53,-21.39,25.74,764.00,24320.00,29786.00
681.99,0.000000,0.000000,75182.16,35.92,0.00,43.81,43.81,0.00,-0.01,-0.04,0.95,-2.72,-3.22,-2.72,764.00,24320.00,29786.00
683.98,0.000000,0.000000,75182.49,35.92,0.00,43.77,43.77,0.00,0.01,-0.03,0.96,-0.72,-0.75,1.00,764.00,24320.00,29786.00
685.99,0.000000,0.000000,75182.58,35.92,0.00,43.76,43.76,0.00,-0.11,-0.10,0.94,1.89,1.96,4.65,764.00,24320.00,29786.00
687.99,0.000000,0.000000,75183.09,35.92,0.00,43.71,43.71,0.00,-0.18,-0.05,0.94,-0.15,-2.26,-0.60,764.00,24320.00,29786.00
689.99,0.000000,0.000000,75182.94,35.93,0.00,43.73,43.73,0.00,-0.16,-0.02,0.95,-5.51,-8.14,-0.04,764.00,24320.00,29786.00
691.98,0.000000,0.000000,75182.73,35.93,0.00,43.75,43.75,0.00,-0.13,-0.00,0.95,-0.85,-1.59,0.63,764.00,24320.00,29786.00
693.99,0.000000,0.000000,75183.17,35.94,0.00,43.70,43.70,0.00,-0.11,0.01,0.95,-1.01,-3.51,0.95,764.00,24320.00,29786.00
695.99,0.000000,0.000000,75182.95,35.94,0.00,43.72,43.72,0.00,-0.07,0.05,0.99,48.10,-2.56,3.46,764.00,24320.00,29786.00
697.99,0.000000,0.000000,75182.39,35.95,0.00,43.78,43.78,0.00,-0.00,0.73,0.66,36.48,-56.79,46.09,764.00,24320.00,29786.00
699.98,0.000000,0.000000,75182.77,35.96,0.00,43.74,43.74,0.00,0.13,0.56,0.80,-8.27,1.40,-4.56,764.00,24320.00,29786.00
701.99,0.000000,0.000000,75184.09,35.96,0.00,43.60,43.60,0.00,0.14,0.36,0.90,4.40,-5.00,-1.74,764.00,24320.00,29786.00
703.97,0.000000,0.000000,75185.36,35.97,0.00,43.47,43.47,0.00,0.13,0.34,0.90,0.62,-2.01,4.67,764.00,24320.00,29786.00
705.99,0.000000,0.000000,75184.98,35.98,0.00,43.51,43.51,0.00,0.46,0.21,0.82,4.07,-4.62,-10.70,764.00,24320.00,29786.00
707.99,0.000000,0.000000,75185.27,35.98,0.00,43.48,43.48,0.00,0.28,-0.45,0.81,15.46,-7.38,20.28,764.00,24320.00,29786.00
710.01,0.000000,0.000000,75184.86,35.99,0.00,43.52,43.52,0.00,-0.22,-0.01,0.88,51.87,-10.94,-33.04,764.00,24320.00,29786.00
711.98,0.000000,0.000000,75183.52,36.00,0.00,43.67,43.67,0.00,-0.08,0.01,0.99,-1.53,1.76,-1.85,764.00,24320.00,29786.00
713.98,0.000000,0.000000,75181.55,36.01,0.00,43.87,43.87,0.00,-0.02,0.11,0.96,9.83,-0.78,-30.47,764.00,24320.00,29786.00
715.98,0.000000,0.000000,75181.08,36.02,0.00,43.92,43.92,0.00,-0.01,0.09,0.96,-0.40,-2.92,0.56,764.00,24320.00,29786.00
717.97,0.000000,0.000000,75181.25,36.03,0.00,43.91,43.91,0.00,-0.03,0.10,0.97,-0.23,-3.04,0.47,764.00,24320.00,29786.00
719.98,0.000000,0.000000,75181.05,36.03,0.00,43.93,43.93,0.00,-0.01,0.08,0.96,-0.49,-2.70,0.31,764.00,24320.00,29786.00
721.97,0.000000,0.000000,75180.38,36.04,0.00,44.00,44.00,0.00,-0.03,0.06,0.96,6.74,-6.20,0.71,764.00,24320.00,29786.00
723.98,0.000000,0.000000,75180.36,36.05,0.00,44.00,44.00,0.00,-0.02,0.07,0.96,-0.34,-2.63,0.46,764.00,24320.00,29786.00
726.00,0.000000,0.000000,75180.91,36.05,0.00,43.94,43.94,0.00,-0.04,-0.03,1.04,-17.28,-0.01,-1.80,764.00,24320.00,29786.00
727.98,0.000000,0.000000,75180.64,36.06,0.00,43.97,43.97,0.00,-0.15,0.01,0.87,7.88,-26.66,-96.62,764.00,24320.00,29786.00
729.98,0.000000,0.000000,75180.96,36.07,0.00,43.94,43.94,0.00,0.08,0.22,1.12,-3.94,-11.57,13.88,764.00,24320.00,29786.00
732.00,0.000000,0.000000,75181.77,36.08,0.00,43.85,43.85,0.00,0.05,-0.11,0.92,-13.73,-11.43,48.93,764.00,24320.00,29786.00
733.98,0.000000,0.000000,75182.40,36.08,0.00,43.78,43.78,0.00,0.02,0.11,1.04,-7.06,-1.34,10.19,764.00,24320.00,29786.00
735.98,0.000000,0.000000,75182.52,36.08,0.00,43.77,43.77,0.00,-0.02,0.03,0.97,-0.66,-2.54,0.21,764.00,24320.00,29786.00
737.98,0.000000,0.000000,75182.27,36.09,0.00,43.80,43.80,0.00,-0.02,0.02,0.95,0.31,-3.23,0.62,764.00,24320.00,29786.00
739.98,0.000000,0.000000,75181.20,36.10,0.00,43.91,43.91,0.00,-0.05,0.03,0.95,-3.94,-5.94,-0.76,764.00,24320.00,29786.00
741.98,0.000000,0.000000,75179.92,36.10,0.00,44.05,44.05,0.00,0.02,0.07,0.90,36.90,10.42,-13.50,764.00,24320.00,29786.00
743.98,0.000000,0.000000,75178.27,36.11,0.00,44.22,44.22,0.00,-0.01,0.10,0.88,12.00,9.76,20.44,764.00,24320.00,29786.00
745.97,0.000000,0.000000,75177.80,36.12,0.00,44.27,44.27,0.00,0.02,0.03,0.96,-0.24,-2.84,0.33,764.00,24320.00,29786.00
748.00,0.000000,0.000000,75177.96,36.12,0.00,44.25,44.25,0.00,0.03,0.09,0.81,-12.73,-16.57,-28.24,764.00,24320.00,29786.00
749.95,0.000000,0.000000,75178.04,36.13,0.00,44.25,44.25,0.00,0.04,0.11,0.95,2.20,0.31,-5.59,764.00,24320.00,29786.00
751.97,0.000000,0.000000,75178.44,36.13,0.00,44.20,44.20,0.00,0.06,0.08,0.95,-0.71,-3.16,0.24,764.00,24320.00,29786.00
754.00,0.000000,0.000000,75178.48,36.14,0.00,44.20,44.20,0.00,0.58,-0.14,0.66,-28.56,-50.18,-13.08,764.00,24320.00,29786.00
755.98,0.000000,0.000000,75178.41,36.14,0.00,44.21,44.21,0.00,-0.82,-0.09,0.48,-1.99,2.51,42.51,764.00,24320.00,29786.00
757.97,0.000000,0.000000,75177.67,36.15,0.00,44.29,44.29,0.00,-0.12,-0.00,0.86,1.93,30.61,71.20,764.00,24320.00,29786.00
759.98,0.000000,0.000000,75176.98,36.15,0.00,44.36,44.36,0.00,-0.04,0.12,1.03,-35.88,31.88,23.93,764.00,24320.00,29786.00
761.98,0.000000,0.000000,75176.64,36.16,0.00,44.39,44.39,0.00,0.11,0.11,1.09,0.86,-42.09,-140.08,764.00,24320.00,29786.00
763.98,0.000000,0.000000,75176.84,36.16,0.00,44.37,44.37,0.00,0.04,0.18,0.75,0.51,-5.95,-16.40,764.00,24320.00,29786.00
766.00,0.000000,0.000000,75175.58,36.18,0.00,44.51,44.51,0.00,0.08,0.13,0.90,-45.84,-82.30,-79.37,764.00,24320.00,29786.00
767.97,0.000000,0.000000,75176.05,36.18,0.00,44.46,44.46,0.00,0.10,0.08,0.93,9.97,-23.32,4.18,764.00,24320.00,29786.00
769.98,0.000000,0.000000,75177.00,36.19,0.00,44.36,44.36,0.00,0.14,0.08,1.02,-0.95,-1.67,-19.71,764.00,24320.00,29786.00
771.98,0.000000,0.000000,75177.35,36.20,0.00,44.32,44.32,0.00,0.02,0.07,0.85,12.34,-28.76,7.03,764.00,24320.00,29786.00
773.97,0.000000,0.000000,75177.95,36.20,0.00,44.26,44.26,0.00,-0.02,-0.00,1.04,-1.27,9.28,34.65,764.00,24320.00,29786.00
776.00,0.000000,0.000000,75179.05,36.22,0.00,44.14,44.14,0.00,-0.11,-0.21,0.94,-3.31,-15.63,-4.49,764.00,24320.00,29786.00
777.97,0.000000,0.000000,75178.95,36.23,0.00,44.15,44.15,0.00,0.04,-0.04,0.95,5.07,-1.27,-1.75,764.00,24320.00,29786.00
779.98,0.000000,0.000000,75178.55,36.24,0.00,44.19,44.19,0.00,0.05,-0.05,1.00,-14.24,9.67,-5.18,764.00,24320.00,29786.00
783.97,0.000000,0.000000,75177.14,36.25,0.00,44.34,44.34,0.00,0.01,0.09,0.97,-36.20,-5.30,-35.77,764.00,24320.00,29786.00
785.97,0.000000,0.000000,75176.80,36.26,0.00,44.38,44.38,0.00,0.06,0.04,0.98,0.94,-5.27,-60.26,764.00,24320.00,29786.00
787.97,0.000000,0.000000,75176.39,36.26,0.00,44.42,44.42,0.00,0.08,0.07,0.96,0.93,-2.60,12.90,764.00,24320.00,29786.00
789.97,0.000000,0.000000,75176.12,36.27,0.00,44.45,44.45,0.00,0.10,0.14,0.96,2.81,-4.42,-1.53,764.00,24320.00,29786.00
791.97,0.000000,0.000000,75176.62,36.28,0.00,44.40,44.40,0.00,0.10,0.11,0.94,0.72,-0.87,-3.14,764.00,24320.00,29786.00
793.97,0.000000,0.000000,75176.42,36.30,0.00,44.42,44.42,0.00,0.10,0.08,0.93,-4.75,-3.89,-1.43,764.00,24320.00,29786.00
795.97,0.000000,0.000000,75176.30,36.30,0.00,44.43,44.43,0.00,-0.04,0.00,0.90,-38.48,-2.25,40.94,764.00,24320.00,29786.00
797.97,0.000000,0.000000,75176.24,36.31,0.00,44.44,44.44,0.00,0.06,0.06,0.98,-12.09,-3.43,-39.58,764.00,24320.00,29786.00
799.97,0.000000,0.000000,75176.40,36.32,0.00,44.42,44.42,0.00,0.18,0.00,1.27,-21.88,49.96,12.63,764.00,24320.00,29786.00
801.98,0.000000,0.000000,75175.77,36.33,0.00,44.49,44.49,0.00,0.20,0.04,0.92,11.16,-32.57,-20.68,764.00,24320.00,29786.00
803.98,0.000000,0.000000,75175.88,36.33,0.00,44.47,44.47,0.00,0.14,0.02,1.00,-6.29,-8.90,-2.14,764.00,24320.00,29786.00
805.98,0.000000,0.000000,75175.59,36.33,0.00,44.51,44.51,0.00,0.18,0.10,0.97,-6.26,8.24,12.54,764.00,24320.00,29786.00
807.96,0.000000,0.000000,75175.74,36.34,0.00,44.49,44.49,0.00,0.11,0.11,0.95,-4.20,0.52,2.89,764.00,24320.00,29786.00
809.98,0.000000,0.000000,75175.65,36.35,0.00,44.50,44.50,0.00,0.13,0.08,0.95,0.83,-1.95,-1.43,764.00,24320.00,29786.00
811.96,0.000000,0.000000,75175.75,36.36,0.00,44.49,44.49,0.00,0.19,0.20,0.91,-2.53,3.81,0.59,764.00,24320.00,29786.00
813.98,0.000000,0.000000,75176.17,36.37,0.00,44.44,44.44,0.00,0.07,0.23,0.90,6.69,-8.36,-24.89,764.00,24320.00,29786.00
815.98,0.000000,0.000000,75176.65,36.37,0.00,44.39,44.39,0.00,0.00,0.17,0.86,-18.03,-5.95,-15.75,764.00,24320.00,29786.00
817.98,0.000000,0.000000,75176.98,36.38,0.00,44.36,44.36,0.00,0.27,0.02,1.00,15.45,21.58,50.30,764.00,24320.00,29786.00
819.96,0.000000,0.000000,75177.20,36.38,0.00,44.34,44.34,0.00,0.12,0.19,0.96,4.44,-1.17,7.35,764.00,24320.00,29786.00
821.97,0.000000,0.000000,75177.11,36.39,0.00,44.34,44.34,0.00,0.36,0.28,0.99,26.55,-38.83,-31.09,764.00,24320.00,29786.00
823.98,0.000000,0.000000,75176.58,36.39,0.00,44.40,44.40,0.00,0.17,0.00,0.99,-4.78,7.35,-7.33,764.00,24320.00,29786.00
825.96,0.000000,0.000000,75176.21,36.39,0.00,44.44,44.44,0.00,0.20,0.03,0.98,1.67,7.27,5.88,764.00,24320.00,29786.00
827.96,0.000000,0.000000,75176.00,36.40,0.00,44.46,44.46,0.00,0.17,0.10,0.98,4.77,-3.10,1.69,764.00,24320.00,29786.00
830.00,0.000000,0.000000,75175.09,36.41,0.00,44.56,44.56,0.00,0.17,-0.05,0.99,-18.88,-2.60,-40.09,764.00,24320.00,29786.00
832.00,0.000000,0.000000,75174.67,36.42,0.00,44.60,44.60,0.00,-0.53,-0.31,0.64,-103.29,-14.32,-12.09,764.00,24320.00,29786.00
834.00,0.000000,0.000000,75174.95,36.43,0.00,44.57,44.57,0.00,-0.05,0.46,0.08,154.81,-85.57,-214.71,764.00,24320.00,29786.00
835.99,0.000000,0.000000,75174.63,36.44,0.00,44.61,44.61,0.00,-0.12,0.81,0.42,-51.17,61.24,75.31,764.00,24320.00,29786.00
838.01,0.000000,0.000000,75174.51,36.45,0.00,44.62,44.62,0.00,-0.16,0.43,0.57,-15.41,-92.25,-110.80,764.00,24320.00,29786.00
843.99,0.000000,0.000000,75176.03,36.48,0.00,44.46,44.46,0.00,0.13,0.14,0.98,-26.28,-23.64,19.33,764.00,24320.00,29786.00
847.98,0.000000,0.000000,75176.88,36.48,0.00,44.37,44.37,0.00,-0.07,0.24,0.87,-9.82,-6.42,8.94,764.00,24320.00,29786.00
849.98,0.000000,0.000000,75177.15,36.49,0.00,44.34,44.34,0.00,0.05,0.09,0.94,-10.70,-6.58,-10.31,764.00,24320.00,29786.00
854.00,0.000000,0.000000,75178.39,36.51,0.00,44.21,44.21,0.00,-0.12,-0.06,0.89,16.60,-15.75,-9.44,764.00,24320.00,29786.00
856.00,0.000000,0.000000,75181.08,36.52,0.00,43.92,43.92,0.00,-0.26,-0.29,1.03,6.94,-13.33,-20.97,764.00,24320.00,29786.00
857.98,0.000000,0.000000,75183.17,36.52,0.00,43.70,43.70,0.00,-0.03,-0.27,0.89,19.13,-2.10,13.11,764.00,24320.00,29786.00
860.00,0.000000,0.000000,75184.05,36.53,0.00,43.61,43.61,0.00,0.06,-0.25,0.85,-21.67,12.85,-94.99,764.00,24320.00,29786.00
861.98,0.000000,0.000000,75185.68,36.53,0.00,43.44,43.44,0.00,-0.28,-0.39,0.67,8.73,-41.39,40.66,764.00,24320.00,29786.00
863.98,0.000000,0.000000,75185.23,36.54,0.00,43.48,43.48,0.00,-0.45,-0.80,0.38,0.38,74.11,12.43,764.00,24320.00,29786.00
865.98,0.000000,0.000000,75184.30,36.54,0.00,43.58,43.58,0.00,-0.56,-0.62,0.49,22.23,14.18,20.18,764.00,24320.00,29786.00
868.00,0.000000,0.000000,75183.83,36.55,0.00,43.63,43.63,0.00,-0.64,-0.36,0.65,15.94,-26.49,-0.94,764.00,24320.00,29786.00
872.00,0.000000,0.000000,75186.01,36.57,0.00,43.40,43.40,0.00,-0.36,-0.74,0.36,-32.44,-25.44,-16.91,764.00,24320.00,29786.00
873.97,0.000000,0.000000,75186.34,36.57,0.00,43.37,43.37,0.00,-0.10,-0.87,0.29,5.82,4.77,4.68,764.00,24320.00,29786.00
891.99,0.000000,0.000000,75184.52,36.56,0.00,43.56,43.56,0.00,0.50,-0.36,0.47,28.77,-47.74,-24.60,764.00,24320.00,29786.00
893.97,0.000000,0.000000,75184.12,36.58,0.00,43.60,43.60,0.00,0.00,0.10,0.89,-67.48,82.72,67.05,764.00,24320.00,29786.00
895.97,0.000000,0.000000,75183.79,36.60,0.00,43.64,43.64,0.00,-0.04,0.08,0.98,-73.40,2.20,-79.64,764.00,24320.00,29786.00
897.99,0.000000,0.000000,75182.40,36.61,0.00,43.78,43.78,0.00,-0.04,0.07,0.98,-59.78,15.21,1.11,764.00,24320.00,29786.00
901.99,0.000000,0.000000,75181.98,36.64,0.00,43.83,43.83,0.00,-0.03,0.10,0.98,25.41,-18.01,-1.90,764.00,24320.00,29786.00
903.98,0.000000,0.000000,75181.59,36.65,0.00,43.87,43.87,0.00,-0.03,0.07,0.95,18.59,-17.68,2.17,764.00,24320.00,29786.00
905.98,0.000000,0.000000,75181.42,36.67,0.00,43.89,43.89,0.00,-0.03,0.08,0.94,-19.92,0.06,-1.69,764.00,24320.00,29786.00
909.98,0.000000,0.000000,75181.98,36.71,0.00,43.83,43.83,0.00,-0.03,0.09,0.97,29.88,8.93,-2.04,764.00,24320.00,29786.00
911.98,0.000000,0.000000,75181.70,36.72,0.00,43.86,43.86,0.00,-0.04,0.07,0.97,-7.56,-9.44,1.04,764.00,24320.00,29786.00
913.98,0.000000,0.000000,75182.00,36.74,0.00,43.83,43.83,0.00,-0.04,0.09,0.96,-17.41,-19.10,6.07,764.00,24320.00,29786.00
915.98,0.000000,0.000000,75182.13,36.75,0.00,43.81,43.81,0.00,-0.03,0.09,0.96,16.43,-6.75,1.45,764.00,24320.00,29786.00
917.98,0.000000,0.000000,75181.92,36.78,0.00,43.83,43.83,0.00,-0.03,0.07,0.96,-7.10,2.01,1.79,764.00,24320.00,29786.00
919.96,0.000000,0.000000,75180.36,36.79,0.00,44.00,44.00,0.00,-0.04,0.09,0.95,3.36,3.92,1.30,764.00,24320.00,29786.00
921.97,0.000000,0.000000,75178.77,36.82,0.00,44.17,44.17,0.00,-0.03,0.10,0.95,-4.79,-0.24,2.54,764.00,24320.00,29786.00
923.98,0.000000,0.000000,75177.40,36.84,0.00,44.31,44.31,0.00,-0.04,0.09,0.96,-3.95,-6.35,0.00,764.00,24320.00,29786.00
925.98,0.000000,0.000000,75177.29,36.86,0.00,44.33,44.33,0.00,-0.04,0.09,0.96,-0.23,-9.38,1.26,764.00,24320.00,29786.00
927.98,0.000000,0.000000,75176.29,36.88,0.00,44.43,44.43,0.00,-0.03,0.08,0.95,1.97,-6.36,0.83,764.00,24320.00,29786.00
929.98,0.000000,0.000000,75176.37,36.90,0.00,44.42,44.42,0.00,-0.04,0.09,0.96,-3.57,0.60,-0.39,764.00,24320.00,29786.00
931.98,0.000000,0.000000,75176.73,36.92,0.00,44.38,44.38,0.00,-0.04,0.09,0.95,-3.59,-1.11,-0.54,764.00,24320.00,29786.00
933.98,0.000000,0.000000,75177.47,36.95,0.00,44.31,44.31,0.00,-0.04,0.09,0.96,-5.24,-4.22,0.14,764.00,24320.00,29786.00
935.98,0.000000,0.000000,75177.80,36.98,0.00,44.27,44.27,0.00,-0.04,0.08,0.96,-2.01,-3.40,0.50,764.00,24320.00,29786.00
937.98,0.000000,0.000000,75178.30,37.00,0.00,44.22,44.22,0.00,-0.03,0.09,0.97,2.01,-12.20,1.98,764.00,24320.00,29786.00
939.98,0.000000,0.000000,75178.45,37.03,0.00,44.20,44.20,0.00,-0.03,0.08,0.95,0.87,-12.62,1.63,764.00,24320.00,29786.00
941.98,0.000000,0.000000,75178.09,37.05,0.00,44.24,44.24,0.00,-0.03,0.08,0.95,-1.17,-3.60,0.45,764.00,24320.00,29786.00
943.98,0.000000,0.000000,75177.73,37.07,0.00,44.28,44.28,0.00,-0.04,0.08,0.95,-2.18,3.95,-0.67,764.00,24320.00,29786.00
945.98,0.000000,0.000000,75177.63,37.10,0.00,44.29,44.29,0.00,-0.04,0.09,0.97,-3.04,1.19,-0.50,764.00,24320.00,29786.00
947.98,0.000000,0.000000,75177.27,37.13,0.00,44.33,44.33,0.00,-0.05,0.07,0.95,8.91,-3.12,0.90,764.00,24320.00,29786.00
949.98,0.000000,0.000000,75177.64,37.15,0.00,44.29,44.29,0.00,-0.04,0.09,0.95,-15.62,-7.51,2.11,764.00,24320.00,29786.00
